Gene	RNA blood cell specificity	RNA cancer specificity
AAK1	Low cell type specificity	Low cancer specificity
TRAK2	Low cell type specificity	Low cancer specificity
C2orf42	Low cell type specificity	Low cancer specificity
TIA1	Low cell type specificity	Low cancer specificity
PCYOX1	Low cell type specificity	Low cancer specificity
KISS1R	Cell type enhanced	Cancer enhanced
EPAS1	Group enriched	Low cancer specificity
ARID3A	Cell type enhanced	Low cancer specificity
SUMO1	Low cell type specificity	Low cancer specificity
CD207	Cell type enriched	Low cancer specificity
GRIN3B	Not detected	Low cancer specificity
VAX2	Not detected	Low cancer specificity
ATP6V1B1	Cell type enhanced	Group enriched
NFE2L2	Low cell type specificity	Low cancer specificity
MSH6	Low cell type specificity	Low cancer specificity
PLEKHA3	Low cell type specificity	Low cancer specificity
SPR	Group enriched	Low cancer specificity
EPHA4	Group enriched	Low cancer specificity
PARD3B	Cell type enhanced	Low cancer specificity
FARSB	Low cell type specificity	Low cancer specificity
ALMS1	Low cell type specificity	Low cancer specificity
BCL9	Low cell type specificity	Low cancer specificity
PRRX1	Not detected	Low cancer specificity
DHCR24	Low cell type specificity	Low cancer specificity
DNAJC16	Low cell type specificity	Low cancer specificity
MARK1	Not detected	Low cancer specificity
TNR	Cell type enhanced	Cancer enriched
MORN1	Low cell type specificity	Low cancer specificity
GPX7	Low cell type specificity	Low cancer specificity
CACYBP	Low cell type specificity	Low cancer specificity
SCP2	Low cell type specificity	Low cancer specificity
TPSG1	Not detected	Cancer enhanced
PAPPA2	Not detected	Low cancer specificity
RALGPS2	Group enriched	Low cancer specificity
ANGPTL1	Cell type enhanced	Low cancer specificity
CEP104	Low cell type specificity	Low cancer specificity
FAM20B	Low cell type specificity	Low cancer specificity
TCEANC2	Low cell type specificity	Low cancer specificity
TMEM59	Low cell type specificity	Low cancer specificity
LRRC42	Low cell type specificity	Low cancer specificity
WRAP73	Low cell type specificity	Low cancer specificity
NPHS2	Not detected	Not detected
MRPL37	Low cell type specificity	Low cancer specificity
ICMT	Low cell type specificity	Low cancer specificity
RPL22	Low cell type specificity	Low cancer specificity
CHD5	Not detected	Low cancer specificity
QSOX1	Low cell type specificity	Low cancer specificity
STXBP3	Low cell type specificity	Low cancer specificity
PHF13	Low cell type specificity	Low cancer specificity
ERRFI1	Cell type enhanced	Low cancer specificity
PARK7	Low cell type specificity	Low cancer specificity
KIAA1324	Cell type enriched	Low cancer specificity
OPRD1	Low cell type specificity	Cancer enhanced
AMPD2	Low cell type specificity	Low cancer specificity
SRSF4	Low cell type specificity	Low cancer specificity
MECR	Low cell type specificity	Low cancer specificity
KCNC4	Low cell type specificity	Low cancer specificity
EDEM3	Low cell type specificity	Low cancer specificity
WDR77	Low cell type specificity	Low cancer specificity
ATP5PB	Low cell type specificity	Low cancer specificity
RAP1A	Low cell type specificity	Low cancer specificity
HDAC1	Low cell type specificity	Low cancer specificity
CAPZA1	Low cell type specificity	Low cancer specificity
S100PBP	Low cell type specificity	Low cancer specificity
