Gene	RNA blood cell specificity	RNA cancer specificity
RNF19B	Cell type enhanced	Low cancer specificity
SCAMP3	Low cell type specificity	Low cancer specificity
TRIM62	Low cell type specificity	Low cancer specificity
ASH1L	Low cell type specificity	Low cancer specificity
DLGAP3	Cell type enhanced	Group enriched
SFPQ	Low cell type specificity	Low cancer specificity
RHOU	Low cell type specificity	Low cancer specificity
GON4L	Low cell type specificity	Low cancer specificity
ARHGEF2	Low cell type specificity	Low cancer specificity
LAMTOR2	Low cell type specificity	Low cancer specificity
MEF2D	Low cell type specificity	Low cancer specificity
DOCK7	Cell type enhanced	Low cancer specificity
SRM	Low cell type specificity	Low cancer specificity
FBXO2	Low cell type specificity	Low cancer specificity
FBXO6	Low cell type specificity	Low cancer specificity
C1orf21	Group enriched	Low cancer specificity
SWT1	Low cell type specificity	Low cancer specificity
MAD2L2	Low cell type specificity	Low cancer specificity
DNAJC6	Cell type enhanced	Cancer enhanced
LEPR	Cell type enhanced	Cancer enriched
IVNS1ABP	Low cell type specificity	Low cancer specificity
KIAA2013	Low cell type specificity	Low cancer specificity
MFN2	Low cell type specificity	Low cancer specificity
PRG4	Cell type enriched	Cancer enriched
MIIP	Low cell type specificity	Low cancer specificity
SMG7	Low cell type specificity	Low cancer specificity
NCF2	Cell type enhanced	Low cancer specificity
PDC	Not detected	Not detected
SLC35D1	Low cell type specificity	Low cancer specificity
PLA2G4A	Group enriched	Low cancer specificity
GADD45A	Cell type enhanced	Low cancer specificity
PRAMEF1	Not detected	Not detected
PRAMEF12	Not detected	Not detected
WLS	Group enriched	Low cancer specificity
PRDM2	Low cell type specificity	Low cancer specificity
RGS2	Group enriched	Low cancer specificity
RPE65	Not detected	Group enriched
TROVE2	Low cell type specificity	Low cancer specificity
AMPD1	Cell type enriched	Low cancer specificity
UCHL5	Low cell type specificity	Low cancer specificity
BCAS2	Low cell type specificity	Low cancer specificity
SRSF11	Low cell type specificity	Low cancer specificity
CTH	Low cell type specificity	Group enriched
AGMAT	Low cell type specificity	Group enriched
OLFML3	Cell type enriched	Low cancer specificity
TNNI3K	Cell type enhanced	Not detected
CFHR3	Not detected	Cancer enriched
PLEKHM2	Low cell type specificity	Low cancer specificity
CRYZ	Low cell type specificity	Low cancer specificity
PHTF1	Low cell type specificity	Low cancer specificity
ZBTB17	Low cell type specificity	Low cancer specificity
CD58	Low cell type specificity	Low cancer specificity
TFAP2E	Low cell type specificity	Low cancer specificity
CD2	Group enriched	Low cancer specificity
TTF2	Low cell type specificity	Low cancer specificity
NR5A2	Low cell type specificity	Cancer enhanced
KIF21B	Cell type enhanced	Low cancer specificity
TMEM9	Low cell type specificity	Low cancer specificity
ADPRHL2	Low cell type specificity	Low cancer specificity
MAP7D1	Cell type enhanced	Low cancer specificity
WARS2	Low cell type specificity	Low cancer specificity
HAO2	Not detected	Group enriched
OSCP1	Low cell type specificity	Low cancer specificity
MRPS15	Low cell type specificity	Low cancer specificity
EXOC8	Low cell type specificity	Low cancer specificity
GNPAT	Low cell type specificity	Low cancer specificity
TSNAX	Low cell type specificity	Low cancer specificity
C1orf109	Low cell type specificity	Low cancer specificity
RRAGC	Low cell type specificity	Low cancer specificity
NID1	Group enriched	Low cancer specificity
LGALS8	Cell type enhanced	Low cancer specificity
NT5C1A	Not detected	Not detected
HPCAL4	Cell type enhanced	Group enriched
MTR	Low cell type specificity	Low cancer specificity
BMP8B	Low cell type specificity	Low cancer specificity
MYCL	Group enriched	Cancer enhanced
SIPA1L2	Cell type enhanced	Low cancer specificity
ZP4	Not detected	Not detected
RLF	Low cell type specificity	Low cancer specificity
KMO	Group enriched	Low cancer specificity
ZNF684	Low cell type specificity	Low cancer specificity
KCNQ4	Not detected	Low cancer specificity
RIMS3	Group enriched	Low cancer specificity
AKT3	Low cell type specificity	Low cancer specificity
ETV3	Low cell type specificity	Low cancer specificity
ACADM	Low cell type specificity	Low cancer specificity
ST6GALNAC5	Not detected	Cancer enhanced
SLAMF1	Cell type enhanced	Low cancer specificity
CD48	Low cell type specificity	Low cancer specificity
ADGRL2	Not detected	Low cancer specificity
PADI2	Group enriched	Low cancer specificity
SDHB	Low cell type specificity	Low cancer specificity
MFAP2	Cell type enriched	Low cancer specificity
RPF1	Low cell type specificity	Low cancer specificity
KDM5B	Low cell type specificity	Low cancer specificity
UAP1	Low cell type specificity	Low cancer specificity
ACTL8	Not detected	Low cancer specificity
CTBS	Low cell type specificity	Low cancer specificity
RGS4	Not detected	Low cancer specificity
KLHL12	Low cell type specificity	Low cancer specificity
IGSF21	Not detected	Group enriched
SSX2IP	Low cell type specificity	Low cancer specificity
ZNHIT6	Low cell type specificity	Low cancer specificity
PLA2G2D	Group enriched	Cancer enriched
RBBP5	Low cell type specificity	Low cancer specificity
GBP3	Low cell type specificity	Low cancer specificity
GBP1	Low cell type specificity	Low cancer specificity
KIF17	Not detected	Low cancer specificity
GPR89A	Low cell type specificity	Low cancer specificity
CDK18	Cell type enhanced	Low cancer specificity
RAB29	Low cell type specificity	Low cancer specificity
CD160	Group enriched	Not detected
ECE1	Cell type enhanced	Low cancer specificity
HMGCL	Low cell type specificity	Low cancer specificity
GALE	Low cell type specificity	Low cancer specificity
ID3	Cell type enhanced	Low cancer specificity
CR2	Group enriched	Low cancer specificity
CD46	Group enriched	Low cancer specificity
PRPF3	Low cell type specificity	Low cancer specificity
APH1A	Low cell type specificity	Low cancer specificity
P3H1	Low cell type specificity	Low cancer specificity
SLC2A1	Low cell type specificity	Low cancer specificity
EBNA1BP2	Low cell type specificity	Low cancer specificity
CDC20	Group enriched	Low cancer specificity
MPL	Cell type enriched	Not detected
ARTN	Not detected	Low cancer specificity
IPO13	Low cell type specificity	Low cancer specificity
ATP6V0B	Cell type enhanced	Low cancer specificity
B4GALT2	Low cell type specificity	Low cancer specificity
ERI3	Low cell type specificity	Low cancer specificity
PTCH2	Low cell type specificity	Cancer enhanced
AKR1A1	Low cell type specificity	Low cancer specificity
PRDX1	Low cell type specificity	Low cancer specificity
PIK3R3	Cell type enhanced	Low cancer specificity
TSPAN1	Cell type enriched	Cancer enhanced
BLZF1	Low cell type specificity	Low cancer specificity
CCDC181	Cell type enriched	Low cancer specificity
SLC19A2	Low cell type specificity	Low cancer specificity
FAAH	Cell type enhanced	Cancer enhanced
NSUN4	Low cell type specificity	Low cancer specificity
TMED5	Low cell type specificity	Low cancer specificity
MROH9	Cell type enhanced	Not detected
DR1	Low cell type specificity	Low cancer specificity
CNN3	Cell type enhanced	Low cancer specificity
PRRC2C	Low cell type specificity	Low cancer specificity
F3	Cell type enhanced	Low cancer specificity
ABCD3	Low cell type specificity	Low cancer specificity
VAMP4	Low cell type specificity	Low cancer specificity
DPH5	Low cell type specificity	Low cancer specificity
FASLG	Cell type enhanced	Low cancer specificity
PTBP2	Low cell type specificity	Low cancer specificity
TNFSF4	Low cell type specificity	Low cancer specificity
PRDX6	Low cell type specificity	Low cancer specificity
DARS2	Low cell type specificity	Low cancer specificity
HSD11B1	Cell type enhanced	Cancer enriched
IRF6	Low cell type specificity	Low cancer specificity
DIEXF	Low cell type specificity	Low cancer specificity
PLPPR5	Not detected	Group enriched
PLPPR4	Cell type enriched	Cancer enhanced
SERPINC1	Cell type enhanced	Cancer enriched
RCAN3	Group enriched	Low cancer specificity
SYF2	Low cell type specificity	Low cancer specificity
RSRP1	Low cell type specificity	Low cancer specificity
SLC35A3	Low cell type specificity	Low cancer specificity
RCOR3	Low cell type specificity	Low cancer specificity
STMN1	Cell type enhanced	Low cancer specificity
MTFR1L	Low cell type specificity	Low cancer specificity
MAN1C1	Cell type enhanced	Low cancer specificity
NEK2	Low cell type specificity	Low cancer specificity
RPS6KA1	Low cell type specificity	Low cancer specificity
DHDDS	Low cell type specificity	Low cancer specificity
NENF	Low cell type specificity	Low cancer specificity
NSL1	Low cell type specificity	Low cancer specificity
PROX1	Cell type enriched	Cancer enhanced
ARID1A	Low cell type specificity	Low cancer specificity
CENPF	Low cell type specificity	Low cancer specificity
RPA2	Low cell type specificity	Low cancer specificity
PPP1R8	Low cell type specificity	Low cancer specificity
STX12	Low cell type specificity	Low cancer specificity
MARC2	Cell type enriched	Low cancer specificity
SLC5A9	Not detected	Cancer enhanced
OSBPL9	Low cell type specificity	Low cancer specificity
TXNDC12	Low cell type specificity	Low cancer specificity
ESYT2	Low cell type specificity	Low cancer specificity
CD3EAP	Cell type enhanced	Low cancer specificity
